name,description
ptid,Patient ID
cardiohx,"Acute MI, Peripheral Vascular Disease, Severe Cardiovascular Symptoms (NYHA-Class III), Very Severe Cardiovascular Symptoms (NYHA-Class IV)"
chfhx,Congestive Heart Failure
dementhx,"Dementia, Stroke or Cerebral Infarct, Parkinson's Disease"
psychhx,"Psychiatric History, Active Psychosis or Severe Depression"
chrpulhx,"Chronic Pulmonary Disease, Severe Pulmonary Disease, Very Severe Pulmonary Disease"
renalhx,"Chronic Renal Disease, Chronic Hemodialysis or Peritoneal Dialysis"
liverhx,"Cirrhosis, Hepatic Failure"
gibledhx,Upper GI Bleeding
malighx,"Solid Tumor, Metastatic Disease, Chronic Leukemia/Myeloma, Acute Leukemia, Lymphoma"
immunhx,"Immunosupperssion, Organ Transplant, HIV Positivity, Diabetes Mellitus Without End Organ Damage, Diabetes Mellitus With End Organ Damage, Connective Tissue Disease"
transhx,Transfer (> 24 Hours) from Another Hospital
amihx,Definite Myocardial Infarction

